"Destination","Year","Total","Latitude","Longitude","code"
"Czech Republic",2006,1,49.817492,15.472962,"CZE"
"Denmark",2006,122,56.26392,9.501785,"DNK"
"Finland",2006,96,61.92411,25.748151,"FIN"
"France",2006,82,46.227638,2.213749,"FRA"
"Germany",2006,525,51.165691,10.451526,"DEU"
"Greece",2006,1087,39.074208,21.824312,"GRC"
"Hungary",2006,13,47.162494,19.503304,"HUN"
"Iceland",2006,2,64.963051,-19.020835,"ISL"
"Ireland",2006,88,53.41291,-8.24389,"IRL"
"Japan",2006,3,36.204824,138.252924,"JPN"
"Latvia",2006,1,56.879635,24.603189,"LVA"
"Lithuania",2006,2,55.169438,23.881275,"LTU"
"Luxembourg",2006,8,49.815273,6.129583,"LUX"
"Netherlands",2006,932,52.132633,5.291266,"NLD"
"Norway",2006,224,60.472024,8.468946,"NOR"
"Poland",2006,8,51.919438,19.145136,"POL"
"Romania",2006,5,45.943161,24.96676,"ROU"
"Slovakia",2006,41,48.669026,19.699024,"SVK"
"Slovenia",2006,2,46.151241,14.995463,"SVN"
"Spain",2006,7,40.463667,-3.74922,"ESP"
"Sweden",2006,594,60.128161,18.643501,"SWE"
"Switzerland",2006,229,46.818188,8.227512,"CHE"
"Turkey",2006,259,38.963745,35.243322,"TUR"
"United Kingdom",2006,2648,55.378051,-3.435973,"GBR"
"United States",2006,73,37.09024,-95.712891,"USA"
"Albania",2007,1,41.153332,20.168331,"ALB"
"Australia",2007,20,-25.274398,133.775136,"AUS"
"Austria",2007,761,47.516231,14.550072,"AUT"
"Belgium",2007,696,50.503887,4.469936,"BEL"
"Bulgaria",2007,77,42.733883,25.48583,"BGR"
"Canada",2007,270,56.130366,-106.346771,"CAN"
"Croatia",2007,1,45.1,15.2,"HRV"
"Cyprus",2007,24,35.126413,33.429859,"CYP"
"Czech Republic",2007,21,49.817492,15.472962,"CZE"
"Denmark",2007,144,56.26392,9.501785,"DNK"
"Finland",2007,70,61.92411,25.748151,"FIN"
"France",2007,184,46.227638,2.213749,"FRA"
"Germany",2007,329,51.165691,10.451526,"DEU"
"Greece",2007,1556,39.074208,21.824312,"GRC"
"Hungary",2007,35,47.162494,19.503304,"HUN"
"Iceland",2007,1,64.963051,-19.020835,"ISL"
"Ireland",2007,78,53.41291,-8.24389,"IRL"
"Japan",2007,12,36.204824,138.252924,"JPN"
"Luxembourg",2007,3,49.815273,6.129583,"LUX"
"Malta",2007,1,35.937496,14.375416,"MLT"
"Netherlands",2007,143,52.132633,5.291266,"NLD"
"New Zealand",2007,3,-40.900557,174.885971,"NZL"
"Norway",2007,206,60.472024,8.468946,"NOR"
"Poland",2007,9,51.919438,19.145136,"POL"
"Portugal",2007,7,39.399872,-8.224454,"PRT"
"Romania",2007,3,45.943161,24.96676,"ROU"
"Slovakia",2007,66,48.669026,19.699024,"SVK"
"Slovenia",2007,12,46.151241,14.995463,"SVN"
"South Korea",2007,1,35.907757,127.766922,"KOR"
"Spain",2007,15,40.463667,-3.74922,"ESP"
"Sweden",2007,609,60.128161,18.643501,"SWE"
"Switzerland",2007,314,46.818188,8.227512,"CHE"
"Turkey",2007,705,38.963745,35.243322,"TUR"
