Destination,Year,Total,Latitude,Longitude,code
Australia,2010,3129,133.775136,-25.274398,AUS
Austria,2010,1582,14.550072,47.516231,AUT
Belgium,2010,1124,4.469936,50.503887,BEL
Bosnia and Herzegovina,2010,11,17.679076,43.915886,BIH
Bulgaria,2010,58,25.48583,42.733883,BGR
Canada,2010,392,-106.346771,56.130366,CAN
Croatia,2010,107,15.2,45.1,HRV
Cyprus,2010,41,33.429859,35.126413,CYP
Czech Republic,2010,6,15.472962,49.817492,CZE
Denmark,2010,1476,9.501785,56.26392,DNK
Estonia,2010,9,25.013607,58.595272,EST
Finland,2010,265,25.748151,61.92411,FIN
France,2010,770,2.213749,46.227638,FRA
Germany,2010,5905,10.451526,51.165691,DEU
Greece,2010,524,21.824312,39.074208,GRC
Hungary,2010,796,19.503304,47.162494,HUN
Iceland,2010,7,-19.020835,64.963051,ISL
Ireland,2010,69,-8.24389,53.41291,IRL
Italy,2010,873,12.56738,41.87194,ITA
Japan,2010,1,138.252924,36.204824,JPN
Latvia,2010,23,24.603189,56.879635,LVA
Lithuania,2010,26,23.881275,55.169438,LTU
Luxembourg,2010,12,6.129583,49.815273,LUX
Macedonia [FYROM],2010,71,21.745275,41.608635,MKD
Netherlands,2010,1364,5.291266,52.132633,NLD
New Zealand,2010,4,174.885971,-40.900557,NZL
Norway,2010,930,8.468946,60.472024,NOR
Poland,2010,25,19.145136,51.919438,POL
Portugal,2010,2,-8.224454,39.399872,PRT
Romania,2010,120,24.96676,45.943161,ROU
Serbia,2010,425,21.005859,44.016521,SRB
Slovakia,2010,76,19.699024,48.669026,SVK
Slovenia,2010,23,14.995463,46.151241,SVN
South Korea,2010,15,127.766922,35.907757,KOR
Spain,2010,41,-3.74922,40.463667,ESP
Sweden,2010,2397,18.643501,60.128161,SWE
Switzerland,2010,632,8.227512,46.818188,CHE
Turkey,2010,1248,35.243322,38.963745,TUR
United Kingdom,2010,1835,-3.435973,55.378051,GBR
United States,2010,156,-95.712891,37.09024,USA
Australia,2011,1719,133.775136,-25.274398,AUS
Austria,2011,3623,14.550072,47.516231,AUT
Belgium,2011,2773,4.469936,50.503887,BEL
Bosnia and Herzegovina,2011,2,17.679076,43.915886,BIH
Bulgaria,2011,80,25.48583,42.733883,BGR
Canada,2011,397,-106.346771,56.130366,CAN
Croatia,2011,487,15.2,45.1,HRV
Cyprus,2011,16,33.429859,35.126413,CYP
Czech Republic,2011,25,15.472962,49.817492,CZE
Denmark,2011,903,9.501785,56.26392,DNK
Estonia,2011,8,25.013607,58.595272,EST
Finland,2011,292,25.748151,61.92411,FIN
France,2011,651,2.213749,46.227638,FRA
Germany,2011,7767,10.451526,51.165691,DEU
Greece,2011,637,21.824312,39.074208,GRC
Hungary,2011,649,19.503304,47.162494,HUN
Iceland,2011,3,-19.020835,64.963051,ISL
Ireland,2011,67,-8.24389,53.41291,IRL
Italy,2011,1429,12.56738,41.87194,ITA
Japan,2011,4,138.252924,36.204824,JPN
Latvia,2011,3,24.603189,56.879635,LVA
Liechtenstein,2011,3,9.555373,47.166,LIE
Lithuania,2011,45,23.881275,55.169438,LTU
Luxembourg,2011,21,6.129583,49.815273,LUX
Macedonia [FYROM],2011,427,21.745275,41.608635,MKD
Montenegro,2011,8,19.37439,42.708678,MNE
Netherlands,2011,1885,5.291266,52.132633,NLD
New Zealand,2011,11,174.885971,-40.900557,NZL
Norway,2011,948,8.468946,60.472024,NOR
Poland,2011,33,19.145136,51.919438,POL
Portugal,2011,4,-8.224454,39.399872,PRT
Romania,2011,107,24.96676,45.943161,ROU
Serbia,2011,1757,21.005859,44.016521,SRB
Slovakia,2011,65,19.699024,48.669026,SVK
Slovenia,2011,57,14.995463,46.151241,SVN
South Korea,2011,60,127.766922,35.907757,KOR
Spain,2011,30,-3.74922,40.463667,ESP
Sweden,2011,4120,18.643501,60.128161,SWE
Switzerland,2011,1006,8.227512,46.818188,CHE
Turkey,2011,2486,35.243322,38.963745,TUR
United Kingdom,2011,1529,-3.435973,55.378051,GBR
United States,2011,219,-95.712891,37.09024,USA
Albania,2012,1,20.168331,41.153332,ALB
Australia,2012,3064,133.775136,-25.274398,AUS
Austria,2012,4003,14.550072,47.516231,AUT
Belgium,2012,2349,4.469936,50.503887,BEL
Bulgaria,2012,95,25.48583,42.733883,BGR
Canada,2012,362,-106.346771,56.130366,CAN
Croatia,2012,365,15.2,45.1,HRV
Cyprus,2012,51,33.429859,35.126413,CYP
Czech Republic,2012,10,15.472962,49.817492,CZE
Denmark,2012,576,9.501785,56.26392,DNK
Estonia,2012,3,25.013607,58.595272,EST
Finland,2012,188,25.748151,61.92411,FIN
France,2012,522,2.213749,46.227638,FRA
Germany,2012,7498,10.451526,51.165691,DEU
Greece,2012,584,21.824312,39.074208,GRC
Hungary,2012,880,19.503304,47.162494,HUN
Iceland,2012,9,-19.020835,64.963051,ISL
Ireland,2012,31,-8.24389,53.41291,IRL
Italy,2012,1495,12.56738,41.87194,ITA
Japan,2012,4,138.252924,36.204824,JPN
Latvia,2012,4,24.603189,56.879635,LVA
Liechtenstein,2012,3,9.555373,47.166,LIE
Lithuania,2012,73,23.881275,55.169438,LTU
Luxembourg,2012,11,6.129583,49.815273,LUX
Macedonia [FYROM],2012,243,21.745275,41.608635,MKD
Montenegro,2012,119,19.37439,42.708678,MNE
Netherlands,2012,1022,5.291266,52.132633,NLD
New Zealand,2012,9,174.885971,-40.900557,NZL
Norway,2012,987,8.468946,60.472024,NOR
Poland,2012,88,19.145136,51.919438,POL
Portugal,2012,5,-8.224454,39.399872,PRT
Romania,2012,200,24.96676,45.943161,ROU
Serbia,2012,815,21.005859,44.016521,SRB
Slovakia,2012,63,19.699024,48.669026,SVK
Slovenia,2012,50,14.995463,46.151241,SVN
South Korea,2012,4,127.766922,35.907757,KOR
Spain,2012,46,-3.74922,40.463667,ESP
Sweden,2012,4755,18.643501,60.128161,SWE
Switzerland,2012,1349,8.227512,46.818188,CHE
Turkey,2012,14146,35.243322,38.963745,TUR
United Kingdom,2012,1234,-3.435973,55.378051,GBR
United States,2012,204,-95.712891,37.09024,USA
Australia,2013,370,133.775136,-25.274398,AUS
Austria,2013,2589,14.550072,47.516231,AUT
Belgium,2013,892,4.469936,50.503887,BEL
Bosnia and Herzegovina,2013,6,17.679076,43.915886,BIH
Bulgaria,2013,304,25.48583,42.733883,BGR
Canada,2013,386,-106.346771,56.130366,CAN
Croatia,2013,185,15.2,45.1,HRV
Cyprus,2013,6,33.429859,35.126413,CYP
Czech Republic,2013,8,15.472962,49.817492,CZE
Denmark,2013,425,9.501785,56.26392,DNK
Estonia,2013,1,25.013607,58.595272,EST
Finland,2013,172,25.748151,61.92411,FIN
France,2013,526,2.213749,46.227638,FRA
Germany,2013,7735,10.451526,51.165691,DEU
Greece,2013,1223,21.824312,39.074208,GRC
Hungary,2013,2279,19.503304,47.162494,HUN
Iceland,2013,4,-19.020835,64.963051,ISL
Ireland,2013,32,-8.24389,53.41291,IRL
Italy,2013,2049,12.56738,41.87194,ITA
Japan,2013,3,138.252924,36.204824,JPN
Liechtenstein,2013,1,9.555373,47.166,LIE
Lithuania,2013,45,23.881275,55.169438,LTU
Luxembourg,2013,17,6.129583,49.815273,LUX
Macedonia [FYROM],2013,262,21.745275,41.608635,MKD
Montenegro,2013,186,19.37439,42.708678,MNE
Netherlands,2013,673,5.291266,52.132633,NLD
New Zealand,2013,7,174.885971,-40.900557,NZL
Norway,2013,720,8.468946,60.472024,NOR
Poland,2013,43,19.145136,51.919438,POL
Portugal,2013,2,-8.224454,39.399872,PRT
Romania,2013,39,24.96676,45.943161,ROU
Serbia,2013,492,21.005859,44.016521,SRB
Slovakia,2013,84,19.699024,48.669026,SVK
Slovenia,2013,14,14.995463,46.151241,SVN
South Korea,2013,27,127.766922,35.907757,KOR
Spain,2013,66,-3.74922,40.463667,ESP
Sweden,2013,3011,18.643501,60.128161,SWE
Switzerland,2013,863,8.227512,46.818188,CHE
Turkey,2013,8726,35.243322,38.963745,TUR
United Kingdom,2013,1456,-3.435973,55.378051,GBR
United States,2013,186,-95.712891,37.09024,USA
Australia,2014,127,133.775136,-25.274398,AUS
Austria,2014,4916,14.550072,47.516231,AUT
Belgium,2014,744,4.469936,50.503887,BEL
Bosnia and Herzegovina,2014,10,17.679076,43.915886,BIH
Bulgaria,2014,2949,25.48583,42.733883,BGR
Canada,2014,461,-106.346771,56.130366,CAN
Croatia,2014,18,15.2,45.1,HRV
Cyprus,2014,1,33.429859,35.126413,CYP
Czech Republic,2014,13,15.472962,49.817492,CZE
Denmark,2014,321,9.501785,56.26392,DNK
Finland,2014,198,25.748151,61.92411,FIN
France,2014,605,2.213749,46.227638,FRA
Germany,2014,9115,10.451526,51.165691,DEU
Greece,2014,1711,21.824312,39.074208,GRC
Hungary,2014,8539,19.503304,47.162494,HUN
Ireland,2014,25,-8.24389,53.41291,IRL
Italy,2014,3104,12.56738,41.87194,ITA
Japan,2014,26,138.252924,36.204824,JPN
Latvia,2014,13,24.603189,56.879635,LVA
Liechtenstein,2014,1,9.555373,47.166,LIE
Lithuania,2014,70,23.881275,55.169438,LTU
Luxembourg,2014,9,6.129583,49.815273,LUX
